FirstTeam,SecondTeam,Date,W/L,HomeCourt
CHA,ATL,02/13/2023,W,1
DAL,MIN,02/13/2023,L,1
ORL,CHI,02/13/2023,W,0
PHI,HOU,02/13/2023,W,1
HOU,PHI,02/13/2023,L,0
LAL,POR,02/13/2023,L,0
CLE,SAS,02/13/2023,W,1
SAS,CLE,02/13/2023,L,0
UTA,IND,02/13/2023,W,0
IND,UTA,02/13/2023,L,1
CHI,ORL,02/13/2023,L,1
MIA,DEN,02/13/2023,L,1
GSW,WAS,02/13/2023,W,1
WAS,GSW,02/13/2023,L,0
DEN,MIA,02/13/2023,W,0
POR,LAL,02/13/2023,W,1
DET,TOR,02/12/2023,L,0
TOR,DET,02/12/2023,W,1
MEM,BOS,02/12/2023,L,0
BOS,MEM,02/12/2023,W,1
CHA,DEN,02/11/2023,L,1
CLE,CHI,02/11/2023,W,1
MIA,ORL,02/11/2023,W,0
CHI,CLE,02/11/2023,L,0
IND,WAS,02/11/2023,L,0
WAS,IND,02/11/2023,W,1
ORL,MIA,02/11/2023,L,1
DEN,CHA,02/11/2023,W,0
BKN,PHI,02/11/2023,L,1
NYK,UTA,02/11/2023,W,1
UTA,NYK,02/11/2023,L,0
PHI,BKN,02/11/2023,W,0
GSW,LAL,02/11/2023,L,1
LAL,GSW,02/11/2023,W,0
ATL,SAS,02/11/2023,W,1
DAL,SAC,02/11/2023,L,0
SAC,DAL,02/11/2023,W,1
SAS,ATL,02/11/2023,L,0
CHA,BOS,02/10/2023,L,0
SAC,DAL,02/10/2023,L,1
DAL,SAC,02/10/2023,W,0
CLE,NOP,02/10/2023,W,0
IND,PHX,02/10/2023,L,1
SAS,DET,02/10/2023,L,0
NYK,PHI,02/10/2023,L,0
DET,SAS,02/10/2023,W,1
MIN,MEM,02/10/2023,L,0
NOP,CLE,02/10/2023,L,1
MEM,MIN,02/10/2023,W,1
OKC,POR,02/10/2023,W,0
HOU,MIA,02/10/2023,L,0
MIA,HOU,02/10/2023,W,1
BOS,CHA,02/10/2023,W,1
POR,OKC,02/10/2023,L,1
LAC,MIL,02/10/2023,L,1
MIL,LAC,02/10/2023,W,0
PHI,NYK,02/10/2023,W,1
TOR,UTA,02/10/2023,L,1
UTA,TOR,02/10/2023,W,0
PHX,IND,02/10/2023,W,0
ORL,DEN,02/09/2023,W,1
BKN,CHI,02/09/2023,W,1
CHI,BKN,02/09/2023,L,0
LAL,MIL,02/09/2023,L,1
ATL,PHX,02/09/2023,W,1
MIL,LAL,02/09/2023,W,0
PHX,ATL,02/09/2023,L,0
DEN,ORL,02/09/2023,L,0
SAC,HOU,02/08/2023,W,0
IND,MIA,02/08/2023,L,0
MIA,IND,02/08/2023,W,1
DET,CLE,02/08/2023,L,0
POR,GSW,02/08/2023,W,1
BOS,PHI,02/08/2023,W,1
CLE,DET,02/08/2023,W,1
GSW,POR,02/08/2023,L,0
HOU,SAC,02/08/2023,L,1
SAS,TOR,02/08/2023,L,0
PHI,BOS,02/08/2023,L,0
DAL,LAC,02/08/2023,W,0
LAC,DAL,02/08/2023,L,1
CHA,WAS,02/08/2023,L,0
MIN,UTA,02/08/2023,W,0
WAS,CHA,02/08/2023,W,1
TOR,SAS,02/08/2023,W,1
UTA,MIN,02/08/2023,L,1
NYK,ORL,02/07/2023,W,0
ATL,NOP,02/07/2023,L,0
CHI,MEM,02/07/2023,L,0
DEN,MIN,02/07/2023,W,1
MEM,CHI,02/07/2023,W,1
MIN,DEN,02/07/2023,L,0
NOP,ATL,02/07/2023,W,1
ORL,NYK,02/07/2023,L,1
LAL,OKC,02/07/2023,L,1
OKC,LAL,02/07/2023,W,0
PHX,BKN,02/07/2023,W,0
BKN,PHX,02/07/2023,L,1
DET,BOS,02/06/2023,L,1
BOS,DET,02/06/2023,W,0
POR,MIL,02/06/2023,L,1
MIL,POR,02/06/2023,W,0
GSW,OKC,02/06/2023,W,1
DAL,UTA,02/06/2023,W,0
CLE,WAS,02/06/2023,W,0
WAS,CLE,02/06/2023,L,1
UTA,DAL,02/06/2023,L,1
OKC,GSW,02/06/2023,L,0
HOU,SAC,02/06/2023,L,1
SAC,HOU,02/06/2023,W,0
SAS,CHI,02/06/2023,L,0
CHI,SAS,02/06/2023,W,1
BKN,LAC,02/06/2023,L,1
LAC,BKN,02/06/2023,W,0
CLE,IND,02/05/2023,W,0
MIN,DEN,02/05/2023,W,1
DEN,MIN,02/05/2023,L,0
MEM,TOR,02/05/2023,L,1
TOR,MEM,02/05/2023,W,0
IND,CLE,02/05/2023,L,1
NYK,PHI,02/05/2023,W,1
SAC,NOP,02/05/2023,L,0
CHA,ORL,02/05/2023,L,1
NOP,SAC,02/05/2023,W,1
ORL,CHA,02/05/2023,W,0
PHI,NYK,02/05/2023,L,0
MIA,MIL,02/04/2023,L,0
MIL,MIA,02/04/2023,W,1
OKC,HOU,02/04/2023,W,1
HOU,OKC,02/04/2023,L,0
ATL,DEN,02/04/2023,L,0
DEN,ATL,02/04/2023,W,1
CHI,POR,02/04/2023,W,1
GSW,DAL,02/04/2023,W,1
DAL,GSW,02/04/2023,L,0
NOP,LAL,02/04/2023,W,1
LAL,NOP,02/04/2023,L,0
BKN,WAS,02/04/2023,W,1
POR,CHI,02/04/2023,L,0
DET,PHX,02/04/2023,L,1
PHX,DET,02/04/2023,W,0
WAS,BKN,02/04/2023,L,0
NYK,LAC,02/04/2023,L,1
LAC,NYK,02/04/2023,W,0
PHX,BOS,02/03/2023,W,0
BOS,PHX,02/03/2023,L,1
ORL,MIN,02/03/2023,W,0
ATL,UTA,02/03/2023,W,0
PHI,SAS,02/03/2023,W,0
SAS,PHI,02/03/2023,L,1
MIN,ORL,02/03/2023,L,1
DET,CHA,02/03/2023,W,1
UTA,ATL,02/03/2023,L,1
IND,SAC,02/03/2023,W,1
SAC,IND,02/03/2023,L,0
HOU,TOR,02/03/2023,L,1
TOR,HOU,02/03/2023,W,0
WAS,POR,02/03/2023,L,1
CHA,DET,02/03/2023,L,0
POR,WAS,02/03/2023,W,0
LAC,MIL,02/02/2023,L,0
MIA,NYK,02/02/2023,L,0
DAL,NOP,02/02/2023,W,1
NOP,DAL,02/02/2023,L,0
NYK,MIA,02/02/2023,W,1
IND,LAL,02/02/2023,L,1
LAL,IND,02/02/2023,W,0
CHI,CHA,02/02/2023,W,1
CHA,CHI,02/02/2023,L,0
MEM,CLE,02/02/2023,L,0
CLE,MEM,02/02/2023,W,1
DEN,GSW,02/02/2023,W,1
GSW,DEN,02/02/2023,L,0
MIL,LAC,02/02/2023,W,1
GSW,MIN,02/01/2023,L,0
SAS,SAC,02/01/2023,L,1
BKN,BOS,02/01/2023,L,0
PHI,ORL,02/01/2023,W,1
BOS,BKN,02/01/2023,W,1
ORL,PHI,02/01/2023,L,0
SAC,SAS,02/01/2023,W,0
HOU,OKC,02/01/2023,W,1
MIN,GSW,02/01/2023,W,1
MEM,POR,02/01/2023,L,1
POR,MEM,02/01/2023,W,0
TOR,UTA,02/01/2023,L,0
PHX,ATL,02/01/2023,L,1
UTA,TOR,02/01/2023,W,1
OKC,HOU,02/01/2023,L,0
ATL,PHX,02/01/2023,W,0
LAC,CHI,01/31/2023,W,0
CHI,LAC,01/31/2023,L,1
MIL,CHA,01/31/2023,W,1
MIA,CLE,01/31/2023,W,0
NOP,DEN,01/31/2023,L,0
CLE,MIA,01/31/2023,L,1
DEN,NOP,01/31/2023,W,1
CHA,MIL,01/31/2023,L,0
NYK,LAL,01/31/2023,L,1
LAL,NYK,01/31/2023,W,0
ORL,PHI,01/30/2023,W,0
PHI,ORL,01/30/2023,L,1
SAS,WAS,01/30/2023,L,1
WAS,SAS,01/30/2023,W,0
GSW,OKC,01/30/2023,W,0
OKC,GSW,01/30/2023,L,1
BKN,LAL,01/30/2023,W,1
LAL,BKN,01/30/2023,L,0
MIN,SAC,01/30/2023,L,1
POR,ATL,01/30/2023,W,1
DET,DAL,01/30/2023,L,0
ATL,POR,01/30/2023,L,0
SAC,MIN,01/30/2023,W,0
TOR,PHX,01/30/2023,L,0
PHX,TOR,01/30/2023,W,1
DAL,DET,01/30/2023,W,1
CLE,LAC,01/29/2023,W,1
MIL,NOP,01/29/2023,W,1
NOP,MIL,01/29/2023,L,0
LAC,CLE,01/29/2023,L,0
IND,MEM,01/29/2023,L,0
MEM,IND,01/29/2023,W,1
CHA,MIA,01/29/2023,W,1
MIA,CHA,01/29/2023,L,0
PHI,DEN,01/28/2023,W,1
HOU,DET,01/28/2023,W,0
DET,HOU,01/28/2023,L,1
CHI,ORL,01/28/2023,W,0
TOR,POR,01/28/2023,W,0
WAS,NOP,01/28/2023,W,0
ORL,CHI,01/28/2023,L,1
NOP,WAS,01/28/2023,L,1
BOS,LAL,01/28/2023,W,1
SAC,MIN,01/28/2023,L,0
SAS,PHX,01/28/2023,L,1
MIN,SAC,01/28/2023,W,1
LAL,BOS,01/28/2023,L,0
NYK,BKN,01/28/2023,L,0
BKN,NYK,01/28/2023,W,1
PHX,SAS,01/28/2023,W,0
LAC,ATL,01/28/2023,W,0
ATL,LAC,01/28/2023,L,1
POR,TOR,01/28/2023,L,1
UTA,DAL,01/28/2023,W,1
DAL,UTA,01/28/2023,L,0
DEN,PHI,01/28/2023,L,0
IND,MIL,01/27/2023,L,1
OKC,CLE,01/27/2023,W,1
CLE,OKC,01/27/2023,L,0
ORL,MIA,01/27/2023,L,0
MIL,IND,01/27/2023,W,0
GSW,TOR,01/27/2023,W,1
TOR,GSW,01/27/2023,L,0
MIN,MEM,01/27/2023,W,1
MEM,MIN,01/27/2023,L,0
MIA,ORL,01/27/2023,W,1
NYK,BOS,01/26/2023,W,0
BOS,NYK,01/26/2023,L,1
DET,BKN,01/26/2023,W,0
BKN,DET,01/26/2023,L,1
LAC,SAS,01/26/2023,W,1
CHA,CHI,01/26/2023,W,1
CHI,CHA,01/26/2023,L,0
PHX,DAL,01/26/2023,L,1
HOU,CLE,01/26/2023,L,1
CLE,HOU,01/26/2023,W,0
DAL,PHX,01/26/2023,W,0
SAS,LAC,01/26/2023,L,0
HOU,WAS,01/25/2023,L,1
UTA,POR,01/25/2023,L,0
POR,UTA,01/25/2023,W,1
WAS,HOU,01/25/2023,W,0
IND,ORL,01/25/2023,L,0
ORL,IND,01/25/2023,W,1
DEN,MIL,01/25/2023,L,0
PHI,BKN,01/25/2023,W,1
TOR,SAC,01/25/2023,W,0
SAC,TOR,01/25/2023,L,1
MEM,GSW,01/25/2023,L,0
OKC,ATL,01/25/2023,L,1
GSW,MEM,01/25/2023,W,1
BKN,PHI,01/25/2023,L,0
ATL,OKC,01/25/2023,W,0
MIN,NOP,01/25/2023,W,0
NOP,MIN,01/25/2023,L,1
SAS,LAL,01/25/2023,L,0
LAL,SAS,01/25/2023,W,1
MIL,DEN,01/25/2023,W,1
IND,CHI,01/24/2023,W,1
LAL,LAC,01/24/2023,L,1
BOS,MIA,01/24/2023,L,0
CHA,PHX,01/24/2023,L,0
PHX,CHA,01/24/2023,W,1
MIA,BOS,01/24/2023,W,1
LAC,LAL,01/24/2023,W,0
CLE,NYK,01/24/2023,L,0
NYK,CLE,01/24/2023,W,1
CHI,IND,01/24/2023,L,0
NOP,DEN,01/24/2023,L,1
DEN,NOP,01/24/2023,W,0
DAL,WAS,01/24/2023,L,1
WAS,DAL,01/24/2023,W,0
HOU,MIN,01/23/2023,W,1
ORL,BOS,01/23/2023,W,1
UTA,CHA,01/23/2023,W,1
CHA,UTA,01/23/2023,L,0
DET,MIL,01/23/2023,L,1
SAC,MEM,01/23/2023,W,1
MEM,SAC,01/23/2023,L,0
MIL,DET,01/23/2023,W,0
SAS,POR,01/23/2023,L,0
CHI,ATL,01/23/2023,W,1
ATL,CHI,01/23/2023,L,0
BOS,ORL,01/23/2023,L,0
POR,SAS,01/23/2023,W,1
MIN,HOU,01/23/2023,L,0
TOR,NYK,01/22/2023,W,1
NYK,TOR,01/22/2023,L,0
POR,LAL,01/22/2023,L,1
GSW,BKN,01/22/2023,L,1
BKN,GSW,01/22/2023,W,0
NOP,MIA,01/22/2023,L,0
MIA,NOP,01/22/2023,W,1
OKC,DEN,01/22/2023,W,0
DEN,OKC,01/22/2023,L,1
PHX,MEM,01/22/2023,W,1
MEM,PHX,01/22/2023,L,0
DAL,LAC,01/22/2023,L,1
LAC,DAL,01/22/2023,W,0
LAL,POR,01/22/2023,W,0
BOS,TOR,01/21/2023,W,0
TOR,BOS,01/21/2023,L,1
HOU,MIN,01/21/2023,L,0
MIN,HOU,01/21/2023,W,1
ATL,CHA,01/21/2023,L,1
CHA,ATL,01/21/2023,W,0
MIL,CLE,01/21/2023,L,0
PHI,SAC,01/21/2023,W,0
SAC,PHI,01/21/2023,L,1
CLE,MIL,01/21/2023,W,1
PHX,IND,01/21/2023,W,1
IND,PHX,01/21/2023,L,0
ORL,WAS,01/21/2023,L,0
WAS,ORL,01/21/2023,W,1
NOP,ORL,01/20/2023,L,0
ORL,NOP,01/20/2023,W,1
UTA,BKN,01/20/2023,L,1
IND,DEN,01/20/2023,L,0
BKN,UTA,01/20/2023,W,0
SAS,LAC,01/20/2023,L,1
LAC,SAS,01/20/2023,W,0
DEN,IND,01/20/2023,W,1
MEM,LAL,01/20/2023,L,0
NYK,ATL,01/20/2023,L,0
LAL,MEM,01/20/2023,W,1
OKC,SAC,01/20/2023,L,0
ATL,NYK,01/20/2023,W,1
SAC,OKC,01/20/2023,W,1
GSW,CLE,01/20/2023,W,0
CLE,GSW,01/20/2023,L,1
DAL,MIA,01/20/2023,W,1
MIA,DAL,01/20/2023,L,0
CHI,DET,01/19/2023,W,0
DET,CHI,01/19/2023,L,1
BOS,GSW,01/19/2023,W,1
GSW,BOS,01/19/2023,L,0
POR,PHI,01/19/2023,L,1
BKN,PHX,01/19/2023,L,0
TOR,MIN,01/19/2023,L,0
MIN,TOR,01/19/2023,W,1
PHX,BKN,01/19/2023,W,1
PHI,POR,01/19/2023,W,0
NYK,WAS,01/18/2023,L,1
DEN,MIN,01/18/2023,W,1
DAL,ATL,01/18/2023,L,1
LAL,SAC,01/18/2023,L,1
MIN,DEN,01/18/2023,L,0
SAC,LAL,01/18/2023,W,0
CLE,MEM,01/18/2023,L,0
MEM,CLE,01/18/2023,W,1
WAS,NYK,01/18/2023,W,0
UTA,LAC,01/18/2023,W,1
NOP,MIA,01/18/2023,L,1
MIA,NOP,01/18/2023,W,0
OKC,IND,01/18/2023,W,1
ATL,DAL,01/18/2023,W,0
CHA,HOU,01/18/2023,W,0
IND,OKC,01/18/2023,L,0
LAC,UTA,01/18/2023,L,0
HOU,CHA,01/18/2023,L,1
SAS,BKN,01/17/2023,W,1
BKN,SAS,01/17/2023,L,0
TOR,MIL,01/17/2023,L,0
PHI,LAC,01/17/2023,W,0
LAC,PHI,01/17/2023,L,1
MIL,TOR,01/17/2023,W,1
POR,DEN,01/17/2023,L,0
DEN,POR,01/17/2023,W,1
NOP,CLE,01/16/2023,L,0
CLE,NOP,01/16/2023,W,1
ATL,MIA,01/16/2023,W,1
MIA,ATL,01/16/2023,L,0
LAL,HOU,01/16/2023,W,1
MIN,UTA,01/16/2023,L,1
UTA,MIN,01/16/2023,W,0
NYK,TOR,01/16/2023,L,1
GSW,WAS,01/16/2023,W,0
WAS,GSW,01/16/2023,L,1
TOR,NYK,01/16/2023,W,0
CHA,BOS,01/16/2023,L,1
BOS,CHA,01/16/2023,W,0
PHX,MEM,01/16/2023,L,0
MEM,PHX,01/16/2023,W,1
IND,MIL,01/16/2023,L,0
MIL,IND,01/16/2023,W,1
HOU,LAL,01/16/2023,L,0
POR,DAL,01/15/2023,W,1
DAL,POR,01/15/2023,L,0
NYK,DET,01/15/2023,W,0
DET,NYK,01/15/2023,L,1
DEN,ORL,01/15/2023,W,1
ORL,DEN,01/15/2023,L,0
SAC,SAS,01/15/2023,W,0
SAS,SAC,01/15/2023,L,1
LAC,HOU,01/15/2023,W,1
HOU,LAC,01/15/2023,L,0
GSW,CHI,01/15/2023,L,0
BKN,OKC,01/15/2023,L,1
OKC,BKN,01/15/2023,W,0
PHI,LAL,01/15/2023,W,0
LAL,PHI,01/15/2023,L,1
CHI,GSW,01/15/2023,W,1
CLE,MIN,01/14/2023,L,0
MIN,CLE,01/14/2023,W,1
CHA,BOS,01/14/2023,L,1
BOS,CHA,01/14/2023,W,0
POR,DAL,01/14/2023,W,1
DAL,POR,01/14/2023,L,0
MIL,MIA,01/14/2023,L,0
PHI,UTA,01/14/2023,W,0
UTA,PHI,01/14/2023,L,1
ATL,TOR,01/14/2023,W,0
TOR,ATL,01/14/2023,L,1
MIA,MIL,01/14/2023,W,1
MEM,IND,01/14/2023,W,0
IND,MEM,01/14/2023,L,1
PHX,MIN,01/13/2023,L,0
GSW,SAS,01/13/2023,W,0
SAS,GSW,01/13/2023,L,1
ATL,IND,01/13/2023,W,0
NOP,DET,01/13/2023,W,0
DET,NOP,01/13/2023,L,1
OKC,CHI,01/13/2023,W,0
CHI,OKC,01/13/2023,L,1
MIN,PHX,01/13/2023,W,1
NYK,WAS,01/13/2023,W,0
LAC,DEN,01/13/2023,L,1
WAS,NYK,01/13/2023,L,1
SAC,HOU,01/13/2023,W,1
DEN,LAC,01/13/2023,W,0
ORL,UTA,01/13/2023,L,0
UTA,ORL,01/13/2023,W,1
HOU,SAC,01/13/2023,L,0
IND,ATL,01/13/2023,L,1
LAL,DAL,01/12/2023,L,1
POR,CLE,01/12/2023,L,1
MIA,MIL,01/12/2023,W,1
DAL,LAL,01/12/2023,W,0
MIL,MIA,01/12/2023,L,0
TOR,CHA,01/12/2023,W,1
CHA,TOR,01/12/2023,L,0
BKN,BOS,01/12/2023,L,1
CLE,POR,01/12/2023,W,0
OKC,PHI,01/12/2023,W,0
BOS,BKN,01/12/2023,W,0
PHI,OKC,01/12/2023,L,1
BOS,NOP,01/11/2023,W,1
NOP,BOS,01/11/2023,L,0
HOU,SAC,01/11/2023,L,0
SAC,HOU,01/11/2023,W,1
MEM,SAS,01/11/2023,W,1
SAS,MEM,01/11/2023,L,0
ATL,MIL,01/11/2023,L,1
MIL,ATL,01/11/2023,W,0
IND,NYK,01/11/2023,L,0
MIN,DET,01/11/2023,L,0
DET,MIN,01/11/2023,W,1
NYK,IND,01/11/2023,W,1
WAS,CHI,01/11/2023,W,1
CHI,WAS,01/11/2023,L,0
DEN,PHX,01/11/2023,W,1
PHX,DEN,01/11/2023,L,0
TOR,CHA,01/10/2023,W,1
CHA,TOR,01/10/2023,L,0
CLE,UTA,01/10/2023,L,0
DET,PHI,01/10/2023,L,0
UTA,CLE,01/10/2023,W,1
POR,ORL,01/10/2023,L,1
ORL,POR,01/10/2023,W,0
LAC,DAL,01/10/2023,W,1
DAL,LAC,01/10/2023,L,0
PHI,DET,01/10/2023,W,1
MIA,OKC,01/10/2023,W,1
PHX,GSW,01/10/2023,W,0
GSW,PHX,01/10/2023,L,1
OKC,MIA,01/10/2023,L,0
LAL,DEN,01/09/2023,L,0
ORL,SAC,01/09/2023,L,0
MEM,SAS,01/09/2023,W,1
SAS,MEM,01/09/2023,L,0
BOS,CHI,01/09/2023,W,1
CHI,BOS,01/09/2023,L,0
WAS,NOP,01/09/2023,L,1
NOP,WAS,01/09/2023,W,0
MIL,NYK,01/09/2023,W,0
NYK,MIL,01/09/2023,L,1
SAC,ORL,01/09/2023,W,1
DEN,LAL,01/09/2023,W,1
LAC,ATL,01/08/2023,L,1
PHX,CLE,01/08/2023,L,1
CLE,PHX,01/08/2023,W,0
ATL,LAC,01/08/2023,W,0
IND,CHA,01/08/2023,W,1
MIN,HOU,01/08/2023,W,0
HOU,MIN,01/08/2023,L,1
DAL,OKC,01/08/2023,L,0
OKC,DAL,01/08/2023,W,1
MIA,BKN,01/08/2023,L,1
BKN,MIA,01/08/2023,W,0
CHA,IND,01/08/2023,L,0
DET,PHI,01/08/2023,L,1
PHI,DET,01/08/2023,W,0
MEM,UTA,01/08/2023,W,1
UTA,MEM,01/08/2023,L,0
POR,TOR,01/08/2023,L,0
TOR,POR,01/08/2023,W,1
DAL,NOP,01/07/2023,W,1
NOP,DAL,01/07/2023,L,0
CHI,UTA,01/07/2023,W,1
UTA,CHI,01/07/2023,L,0
GSW,ORL,01/07/2023,L,1
SAS,BOS,01/07/2023,L,1
LAL,SAC,01/07/2023,W,0
SAC,LAL,01/07/2023,L,1
BOS,SAS,01/07/2023,W,0
ORL,GSW,01/07/2023,W,0
OKC,WAS,01/06/2023,W,1
TOR,NYK,01/06/2023,L,1
NYK,TOR,01/06/2023,W,0
MIN,LAC,01/06/2023,W,1
LAC,MIN,01/06/2023,L,0
CHA,MIL,01/06/2023,W,0
MIL,CHA,01/06/2023,L,1
POR,IND,01/06/2023,L,0
PHX,MIA,01/06/2023,L,1
IND,POR,01/06/2023,W,1
MIA,PHX,01/06/2023,W,0
SAS,DET,01/06/2023,W,1
DET,SAS,01/06/2023,L,0
ATL,LAL,01/06/2023,L,0
LAL,ATL,01/06/2023,W,1
CHI,PHI,01/06/2023,W,0
PHI,CHI,01/06/2023,L,1
BKN,NOP,01/06/2023,W,0
NOP,BKN,01/06/2023,L,1
DEN,CLE,01/06/2023,W,1
CLE,DEN,01/06/2023,L,0
WAS,OKC,01/06/2023,L,0
UTA,HOU,01/05/2023,W,0
LAC,DEN,01/05/2023,L,0
BOS,DAL,01/05/2023,W,0
DAL,BOS,01/05/2023,L,1
DEN,LAC,01/05/2023,W,1
MEM,ORL,01/05/2023,W,0
ORL,MEM,01/05/2023,L,1
HOU,UTA,01/05/2023,L,1
PHX,CLE,01/04/2023,L,0
CHI,BKN,01/04/2023,W,1
ORL,OKC,01/04/2023,W,1
MIN,POR,01/04/2023,W,1
MIL,TOR,01/04/2023,W,0
DET,GSW,01/04/2023,W,0
POR,MIN,01/04/2023,L,0
BKN,CHI,01/04/2023,L,0
OKC,ORL,01/04/2023,L,0
NYK,SAS,01/04/2023,W,1
SAS,NYK,01/04/2023,L,0
IND,PHI,01/04/2023,L,0
NOP,HOU,01/04/2023,W,1
HOU,NOP,01/04/2023,L,0
TOR,MIL,01/04/2023,L,1
PHI,IND,01/04/2023,W,1
MIA,LAL,01/04/2023,L,0
MEM,CHA,01/04/2023,W,0
LAL,MIA,01/04/2023,W,1
SAC,ATL,01/04/2023,L,1
ATL,SAC,01/04/2023,W,0
GSW,DET,01/04/2023,L,1
CHA,MEM,01/04/2023,L,1
CLE,PHX,01/04/2023,W,1
BOS,OKC,01/03/2023,L,0
WAS,MIL,01/03/2023,L,0
MIL,WAS,01/03/2023,W,1
OKC,BOS,01/03/2023,W,1
UTA,SAC,01/03/2023,L,1
SAC,UTA,01/03/2023,W,0
TOR,IND,01/02/2023,L,0
PHI,NOP,01/02/2023,W,1
DEN,MIN,01/02/2023,L,0
BKN,SAS,01/02/2023,W,1
MIN,DEN,01/02/2023,W,1
SAS,BKN,01/02/2023,L,0
NOP,PHI,01/02/2023,L,0
IND,TOR,01/02/2023,W,1
GSW,ATL,01/02/2023,W,1
CHI,CLE,01/02/2023,L,0
CHA,LAL,01/02/2023,L,1
LAC,MIA,01/02/2023,L,1
DET,POR,01/02/2023,L,0
POR,DET,01/02/2023,W,1
MIA,LAC,01/02/2023,W,0
LAL,CHA,01/02/2023,W,0
NYK,PHX,01/02/2023,W,1
PHX,NYK,01/02/2023,L,0
ATL,GSW,01/02/2023,L,0
DAL,HOU,01/02/2023,W,0
HOU,DAL,01/02/2023,L,1
CLE,CHI,01/02/2023,W,1
MIL,WAS,01/01/2023,L,1
MEM,SAC,01/01/2023,W,1
DEN,BOS,01/01/2023,W,1
WAS,MIL,01/01/2023,W,0
SAC,MEM,01/01/2023,L,0
BOS,DEN,01/01/2023,L,0
MIN,DET,12/31/2022,L,1
DET,MIN,12/31/2022,W,0
BKN,CHA,12/31/2022,W,0
IND,LAC,12/31/2022,W,1
LAC,IND,12/31/2022,L,0
CHA,BKN,12/31/2022,L,1
MEM,NOP,12/31/2022,W,1
PHI,OKC,12/31/2022,W,0
OKC,PHI,12/31/2022,L,1
SAS,DAL,12/31/2022,L,1
DAL,SAS,12/31/2022,W,0
NOP,MEM,12/31/2022,L,0
MIA,UTA,12/31/2022,W,0
NYK,HOU,12/31/2022,W,0
HOU,NYK,12/31/2022,L,1
UTA,MIA,12/31/2022,L,1
CLE,CHI,12/31/2022,W,0
CHI,CLE,12/31/2022,L,1
UTA,SAC,12/30/2022,L,0
NOP,PHI,12/30/2022,W,1
SAC,UTA,12/30/2022,W,1
PHI,NOP,12/30/2022,L,0
GSW,POR,12/30/2022,W,1
POR,GSW,12/30/2022,L,0
MIN,MIL,12/30/2022,L,0
MIL,MIN,12/30/2022,W,1
ATL,LAL,12/30/2022,L,1
LAL,ATL,12/30/2022,W,0
CHI,DET,12/30/2022,W,1
PHX,TOR,12/30/2022,L,0
TOR,PHX,12/30/2022,W,1
DET,CHI,12/30/2022,L,0
ORL,WAS,12/30/2022,L,1
WAS,ORL,12/30/2022,W,0
MIA,DEN,12/30/2022,L,0
DEN,MIA,12/30/2022,W,1
MEM,TOR,12/29/2022,W,0
TOR,MEM,12/29/2022,L,1
LAC,BOS,12/29/2022,L,0
CHA,OKC,12/29/2022,W,1
OKC,CHA,12/29/2022,L,0
BOS,LAC,12/29/2022,W,1
IND,CLE,12/29/2022,W,1
CLE,IND,12/29/2022,L,0
NYK,SAS,12/29/2022,L,0
SAS,NYK,12/29/2022,W,1
HOU,DAL,12/29/2022,L,0
DAL,HOU,12/29/2022,W,1
LAL,MIA,12/28/2022,L,0
MIA,LAL,12/28/2022,W,1
PHX,WAS,12/28/2022,L,0
WAS,PHX,12/28/2022,W,1
ORL,DET,12/28/2022,L,0
UTA,GSW,12/28/2022,L,0
GSW,UTA,12/28/2022,W,1
DET,ORL,12/28/2022,W,1
MIN,NOP,12/28/2022,L,0
NOP,MIN,12/28/2022,W,1
ATL,BKN,12/28/2022,L,1
BKN,ATL,12/28/2022,W,0
SAC,DEN,12/28/2022,W,1
DEN,SAC,12/28/2022,L,0
CHI,MIL,12/28/2022,W,1
MIL,CHI,12/28/2022,L,0
OKC,SAS,12/27/2022,W,1
PHI,WAS,12/27/2022,L,0
LAC,TOR,12/27/2022,W,0
WAS,PHI,12/27/2022,W,1
BOS,HOU,12/27/2022,W,1
SAS,OKC,12/27/2022,L,0
HOU,BOS,12/27/2022,L,0
TOR,LAC,12/27/2022,L,1
DAL,NYK,12/27/2022,W,1
MEM,PHX,12/27/2022,L,1
ATL,IND,12/27/2022,L,0
IND,ATL,12/27/2022,W,1
NYK,DAL,12/27/2022,L,0
LAL,ORL,12/27/2022,W,0
ORL,LAL,12/27/2022,L,1
DEN,SAC,12/27/2022,W,0
SAC,DEN,12/27/2022,L,1
PHX,MEM,12/27/2022,W,0
GSW,CHA,12/27/2022,W,1
CHA,GSW,12/27/2022,L,0
DET,LAC,12/26/2022,L,1
LAC,DET,12/26/2022,W,0
IND,NOP,12/26/2022,L,0
HOU,CHI,12/26/2022,W,0
CHI,HOU,12/26/2022,L,1
BKN,CLE,12/26/2022,W,0
CLE,BKN,12/26/2022,L,1
MIA,MIN,12/26/2022,W,1
MIN,MIA,12/26/2022,L,0
NOP,IND,12/26/2022,W,1
CHA,POR,12/26/2022,L,0
POR,CHA,12/26/2022,W,1
UTA,SAS,12/26/2022,L,0
SAS,UTA,12/26/2022,W,1
MIL,BOS,12/25/2022,L,0
MEM,GSW,12/25/2022,L,0
GSW,MEM,12/25/2022,W,1
NYK,PHI,12/25/2022,L,1
PHX,DEN,12/25/2022,L,0
DAL,LAL,12/25/2022,W,1
LAL,DAL,12/25/2022,L,0
DEN,PHX,12/25/2022,W,1
PHI,NYK,12/25/2022,W,0
BOS,MIL,12/25/2022,W,1
MIL,BKN,12/23/2022,L,0
