FirstTeam,SecondTeam,Date,W/L,HomeCourt
BOS,MIL,03/30/2023,W,0
MIL,BOS,03/30/2023,L,1
UTA,SAS,03/29/2023,W,0
SAS,UTA,03/29/2023,L,1
MIL,IND,03/29/2023,W,0
IND,MIL,03/29/2023,L,1
MEM,LAC,03/29/2023,L,1
PHI,DAL,03/29/2023,W,1
BKN,HOU,03/29/2023,W,1
HOU,BKN,03/29/2023,L,0
LAC,MEM,03/29/2023,W,0
DET,OKC,03/29/2023,L,0
OKC,DET,03/29/2023,W,1
DAL,PHI,03/29/2023,L,0
PHX,MIN,03/29/2023,W,1
CHI,LAL,03/29/2023,L,1
SAC,POR,03/29/2023,W,0
POR,SAC,03/29/2023,L,1
MIN,PHX,03/29/2023,L,0
LAL,CHI,03/29/2023,W,0
NYK,MIA,03/29/2023,W,1
MIA,NYK,03/29/2023,L,0
NOP,GSW,03/28/2023,L,0
GSW,NOP,03/28/2023,W,1
OKC,CHA,03/28/2023,L,1
CHA,OKC,03/28/2023,W,0
ORL,MEM,03/28/2023,L,0
MEM,ORL,03/28/2023,W,1
WAS,BOS,03/28/2023,W,1
BOS,WAS,03/28/2023,L,0
ATL,CLE,03/28/2023,W,1
CLE,ATL,03/28/2023,L,0
MIA,TOR,03/28/2023,L,0
TOR,MIA,03/28/2023,W,1
SAC,MIN,03/27/2023,L,1
LAC,CHI,03/27/2023,W,1
CHI,LAC,03/27/2023,L,0
MIN,SAC,03/27/2023,W,0
POR,NOP,03/27/2023,L,1
NOP,POR,03/27/2023,W,0
PHI,DEN,03/27/2023,L,0
DEN,PHI,03/27/2023,W,1
UTA,PHX,03/27/2023,L,1
PHX,UTA,03/27/2023,W,0
HOU,NYK,03/27/2023,L,0
NYK,HOU,03/27/2023,W,1
MIL,DET,03/27/2023,W,0
DET,MIL,03/27/2023,L,1
IND,DAL,03/27/2023,L,1
DAL,IND,03/27/2023,W,0
POR,OKC,03/26/2023,L,1
CLE,HOU,03/26/2023,W,1
HOU,CLE,03/26/2023,L,0
CHI,LAL,03/26/2023,W,0
MEM,ATL,03/26/2023,W,0
BKN,ORL,03/26/2023,L,0
ATL,MEM,03/26/2023,L,1
LAL,CHI,03/26/2023,L,1
OKC,POR,03/26/2023,W,0
BOS,SAS,03/26/2023,W,1
SAS,BOS,03/26/2023,L,0
TOR,WAS,03/26/2023,W,1
WAS,TOR,03/26/2023,L,0
ORL,BKN,03/26/2023,W,1
MIN,GSW,03/26/2023,W,0
GSW,MIN,03/26/2023,L,1
DAL,CHA,03/26/2023,L,0
CHA,DAL,03/26/2023,W,1
