FirstTeam,SecondTeam,Date,W/L
DAL,SAS,03/15/2023,W
SAC,CHI,03/15/2023,W
HOU,LAL,03/15/2023,W
MIA,MEM,03/15/2023,W
GSW,LAC,03/15/2023,L
BOS,MIN,03/15/2023,W
CLE,PHI,03/15/2023,L
NYK,POR,03/14/2023,W
TOR,DEN,03/14/2023,W
CHA,CLE,03/14/2023,L
PHX,MIL,03/14/2023,L
ORL,SAS,03/14/2023,L
NOP,LAL,03/14/2023,L
BKN,OKC,03/14/2023,L
DET,WAS,03/14/2023,L
PHX,GSW,03/13/2023,L
SAC,MIL,03/13/2023,L
UTA,MIA,03/13/2023,L
HOU,BOS,03/13/2023,W
MEM,DAL,03/13/2023,W
ATL,MIN,03/13/2023,L
DET,IND,03/13/2023,W
NYK,LAL,03/12/2023,W
PHI,WAS,03/12/2023,W
OKC,SAS,03/12/2023,W
DEN,BKN,03/12/2023,L
NOP,POR,03/12/2023,W
CHA,CLE,03/12/2023,L
MIL,GSW,03/11/2023,L
DET,IND,03/11/2023,L
DAL,MEM,03/11/2023,L
CHA,UTA,03/11/2023,L
LAC,NYK,03/11/2023,W
PHX,SAC,03/11/2023,L
BOS,ATL,03/11/2023,W
HOU,CHI,03/11/2023,L
MIA,ORL,03/11/2023,L
OKC,NOP,03/11/2023,W
PHI,POR,03/10/2023,W
BKN,MIN,03/10/2023,W
ATL,WAS,03/10/2023,W
SAS,DEN,03/10/2023,W
LAL,TOR,03/10/2023,W
MIA,CLE,03/10/2023,W
UTA,ORL,03/09/2023,W
NYK,SAC,03/09/2023,L
HOU,IND,03/09/2023,L
MEM,GSW,03/09/2023,W
MIL,BKN,03/09/2023,W
DET,CHA,03/09/2023,L
TOR,LAC,03/08/2023,L
BOS,POR,03/08/2023,W
CHI,DEN,03/08/2023,W
OKC,PHX,03/08/2023,L
ATL,WAS,03/08/2023,W
CLE,MIA,03/08/2023,W
NOP,DAL,03/08/2023,W
MIL,ORL,03/07/2023,W
BKN,HOU,03/07/2023,W
MIN,PHI,03/07/2023,L
OKC,GSW,03/07/2023,W
NYK,CHA,03/07/2023,L
DAL,UTA,03/07/2023,W
DET,WAS,03/07/2023,L
LAL,MEM,03/07/2023,W
CLE,BOS,03/06/2023,W
PHI,IND,03/06/2023,W
POR,DET,03/06/2023,W
DEN,TOR,03/06/2023,W
SAC,NOP,03/06/2023,W
ATL,MIA,03/06/2023,L
NYK,BOS,03/05/2023,W
SAS,HOU,03/05/2023,L
WAS,MIL,03/05/2023,L
OKC,UTA,03/05/2023,W
GSW,LAL,03/05/2023,L
MEM,LAC,03/05/2023,L
PHX,DAL,03/05/2023,W
IND,CHI,03/05/2023,W
POR,ORL,03/05/2023,W
CHA,BKN,03/05/2023,L
WAS,TOR,03/04/2023,L
SAS,HOU,03/04/2023,L
DET,CLE,03/04/2023,L
ATL,MIA,03/04/2023,L
MIL,PHI,03/04/2023,L
SAC,MIN,03/04/2023,L
DEN,MEM,03/03/2023,W
ATL,POR,03/03/2023,W
BKN,BOS,03/03/2023,W
ORL,CHA,03/03/2023,W
OKC,UTA,03/03/2023,W
GSW,NOP,03/03/2023,W
MIN,LAL,03/03/2023,W
NYK,MIA,03/03/2023,W
CHI,PHX,03/03/2023,L
LAC,SAC,03/03/2023,L
WAS,TOR,03/02/2023,W
DAL,PHI,03/02/2023,W
LAC,GSW,03/02/2023,L
SAS,IND,03/02/2023,W
CHI,DET,03/01/2023,W
CLE,BOS,03/01/2023,L
CHA,PHX,03/01/2023,L
BKN,NYK,03/01/2023,L
MEM,HOU,03/01/2023,W
ORL,MIL,03/01/2023,L
PHI,MIA,03/01/2023,W
NOP,POR,03/01/2023,W
LAL,OKC,03/01/2023,W
TOR,CHI,02/28/2023,W
DEN,HOU,02/28/2023,W
OKC,SAC,02/28/2023,L
POR,GSW,02/28/2023,L
LAC,MIN,02/28/2023,L
WAS,ATL,02/28/2023,W
BKN,MIL,02/28/2023,L
DAL,IND,02/28/2023,L
MEM,LAL,02/28/2023,W
SAS,UTA,02/28/2023,W
NYK,BOS,02/27/2023,W
DET,CHA,02/27/2023,L
PHI,MIA,02/27/2023,L
ORL,NOP,02/27/2023,W
OKC,SAC,02/26/2023,L
DAL,LAL,02/26/2023,L
ATL,BKN,02/26/2023,W
HOU,POR,02/26/2023,L
MIN,GSW,02/26/2023,L
CLE,TOR,02/26/2023,W
CHI,WAS,02/26/2023,W
DEN,LAC,02/26/2023,W
PHX,MIL,02/26/2023,L
MIA,CHA,02/25/2023,L
DEN,MEM,02/25/2023,L
NYK,NOP,02/25/2023,W
IND,ORL,02/25/2023,W
SAS,UTA,02/25/2023,L
PHI,BOS,02/25/2023,L
TOR,DET,02/25/2023,W
CHI,BKN,02/24/2023,W
SAC,LAC,02/24/2023,W
CLE,ATL,02/24/2023,L
OKC,PHX,02/24/2023,L
NYK,WAS,02/24/2023,W
MIA,MIL,02/24/2023,L
GSW,HOU,02/24/2023,W
MIN,CHA,02/24/2023,L
OKC,UTA,02/23/2023,L
POR,SAC,02/23/2023,L
DET,ORL,02/23/2023,L
MEM,PHI,02/23/2023,L
CLE,DEN,02/23/2023,L
DAL,SAS,02/23/2023,W
TOR,NOP,02/23/2023,W
IND,BOS,02/23/2023,L
GSW,LAL,02/23/2023,L
LAC,PHX,02/16/2023,W
WAS,MIN,02/16/2023,W
CHI,MIL,02/16/2023,L
NOP,LAL,02/15/2023,L
CHA,SAS,02/15/2023,W
OKC,HOU,02/15/2023,W
IND,CHI,02/15/2023,W
BKN,MIA,02/15/2023,W
DET,BOS,02/15/2023,L
ATL,NYK,02/15/2023,L
DEN,DAL,02/15/2023,W
UTA,MEM,02/15/2023,L
PHI,CLE,02/15/2023,W
WAS,POR,02/14/2023,W
SAC,PHX,02/14/2023,L
