FirstTeam,SecondTeam,Date,W/L
LAC,BOS,12/12/2022,W
MIN,POR,12/12/2022,L
DAL,OKC,12/12/2022,W
PHI,CHA,12/11/2022,W
NYK,SAC,12/11/2022,W
CHI,ATL,12/11/2022,L
DET,LAL,12/11/2022,L
MIL,HOU,12/11/2022,L
PHX,NOP,12/11/2022,L
ORL,TOR,12/11/2022,W
MIA,SAS,12/10/2022,L
CHI,DAL,12/10/2022,W
GSW,BOS,12/10/2022,W
MIN,POR,12/10/2022,L
UTA,DEN,12/10/2022,L
IND,BKN,12/10/2022,L
CLE,OKC,12/10/2022,W
LAC,WAS,12/10/2022,W
IND,WAS,12/09/2022,W
SAC,CLE,12/09/2022,W
CHA,NYK,12/09/2022,L
TOR,ORL,12/09/2022,L
MIN,UTA,12/09/2022,W
DET,MEM,12/09/2022,L
BKN,ATL,12/09/2022,W
LAL,PHI,12/09/2022,L
DAL,MIL,12/09/2022,L
PHX,NOP,12/09/2022,L
POR,DEN,12/08/2022,L
HOU,SAS,12/08/2022,L
LAC,MIA,12/08/2022,L
SAC,MIL,12/07/2022,L
CHI,WAS,12/07/2022,W
PHX,BOS,12/07/2022,L
ATL,NYK,12/07/2022,L
BKN,CHA,12/07/2022,W
NOP,DET,12/07/2022,W
OKC,MEM,12/07/2022,L
IND,MIN,12/07/2022,L
LAL,TOR,12/07/2022,L
ORL,LAC,12/07/2022,W
UTA,GSW,12/07/2022,W
CLE,LAL,12/06/2022,W
DET,MIA,12/06/2022,W
DEN,DAL,12/06/2022,L
MEM,MIA,12/05/2022,W
OKC,ATL,12/05/2022,W
IND,GSW,12/05/2022,W
HOU,PHI,12/05/2022,W
PHX,DAL,12/05/2022,L
LAC,CHA,12/05/2022,W
BOS,TOR,12/05/2022,W
ORL,MIL,12/05/2022,L
BKN,BOS,12/04/2022,L
CLE,NYK,12/04/2022,L
PHX,SAS,12/04/2022,W
DET,MEM,12/04/2022,L
IND,POR,12/04/2022,L
WAS,LAL,12/04/2022,L
SAC,CHI,12/04/2022,W
NOP,DEN,12/04/2022,W
MIL,CHA,12/03/2022,W
LAC,SAC,12/03/2022,L
DAL,NYK,12/03/2022,W
POR,UTA,12/03/2022,W
ORL,TOR,12/03/2022,L
HOU,GSW,12/03/2022,L
OKC,MIN,12/03/2022,W
NOP,SAS,12/02/2022,W
ATL,DEN,12/02/2022,W
CHA,WAS,12/02/2022,W
MEM,PHI,12/02/2022,W
CHI,GSW,12/02/2022,L
MIA,BOS,12/02/2022,W
IND,UTA,12/02/2022,L
HOU,PHX,12/02/2022,W
BKN,TOR,12/02/2022,W
LAL,MIL,12/02/2022,W
ORL,CLE,12/02/2022,L
DAL,DET,12/01/2022,L
MIA,BOS,11/30/2022,L
OKC,SAS,11/30/2022,W
LAL,POR,11/30/2022,W
ORL,ATL,11/30/2022,L
WAS,BKN,11/30/2022,L
CLE,PHI,11/30/2022,W
HOU,DEN,11/30/2022,L
MIL,NYK,11/30/2022,W
CHI,PHX,11/30/2022,L
UTA,LAC,11/30/2022,W
NOP,TOR,11/30/2022,W
IND,SAC,11/30/2022,L
MEM,MIN,11/30/2022,L
LAC,POR,11/29/2022,W
NYK,DET,11/29/2022,W
DAL,GSW,11/29/2022,W
WAS,MIN,11/28/2022,W
LAL,IND,11/28/2022,L
DEN,HOU,11/28/2022,W
NOP,OKC,11/28/2022,W
ATL,PHI,11/28/2022,L
UTA,CHI,11/28/2022,L
PHX,SAC,11/28/2022,W
BOS,CHA,11/28/2022,W
BKN,ORL,11/28/2022,W
CLE,TOR,11/28/2022,L
LAC,IND,11/27/2022,W
MIL,DAL,11/27/2022,W
POR,BKN,11/27/2022,L
MIN,GSW,11/27/2022,L
ORL,PHI,11/27/2022,L
ATL,MIA,11/27/2022,L
BOS,WAS,11/27/2022,W
DET,CLE,11/27/2022,L
MEM,NYK,11/27/2022,W
DAL,TOR,11/26/2022,L
LAL,SAS,11/26/2022,W
UTA,PHX,11/26/2022,L
OKC,HOU,11/26/2022,L
SAS,LAL,11/25/2022,L
MIN,CHA,11/25/2022,L
DEN,LAC,11/25/2022,W
NOP,MEM,11/25/2022,L
BOS,SAC,11/25/2022,W
GSW,UTA,11/25/2022,W
ORL,PHI,11/25/2022,L
OKC,CHI,11/25/2022,W
DET,PHX,11/25/2022,L
BKN,IND,11/25/2022,L
WAS,MIA,11/25/2022,L
NYK,POR,11/25/2022,L
CLE,MIL,11/25/2022,L
ATL,HOU,11/25/2022,L
MIL,CHI,11/23/2022,L
DET,UTA,11/23/2022,W
PHI,CHA,11/23/2022,L
SAS,NOP,11/23/2022,L
BOS,DAL,11/23/2022,W
GSW,LAC,11/23/2022,W
TOR,BKN,11/23/2022,L
SAC,ATL,11/23/2022,L
DEN,OKC,11/23/2022,W
MIA,WAS,11/23/2022,W
CLE,POR,11/23/2022,W
IND,MIN,11/23/2022,L
SAC,MEM,11/22/2022,W
PHI,BKN,11/22/2022,W
LAL,PHX,11/22/2022,L
DEN,DET,11/22/2022,L
ATL,CLE,11/21/2022,L
GSW,NOP,11/21/2022,L
MIL,POR,11/21/2022,W
ORL,IND,11/21/2022,L
BOS,CHI,11/21/2022,L
MIN,MIA,11/21/2022,W
LAC,UTA,11/21/2022,W
OKC,NYK,11/21/2022,L
MEM,BKN,11/20/2022,L
CHA,WAS,11/20/2022,L
SAC,DET,11/20/2022,W
PHX,NYK,11/20/2022,W
MIA,CLE,11/20/2022,L
LAL,SAS,11/20/2022,W
DAL,DEN,11/20/2022,L
HOU,GSW,11/20/2022,L
UTA,POR,11/19/2022,W
TOR,ATL,11/19/2022,L
SAS,LAC,11/19/2022,L
PHI,MIN,11/19/2022,L
ORL,IND,11/19/2022,L
LAL,DET,11/18/2022,W
MIA,WAS,11/18/2022,L
CLE,CHA,11/18/2022,W
NYK,GSW,11/18/2022,L
IND,HOU,11/18/2022,W
MIL,PHI,11/18/2022,L
DAL,DEN,11/18/2022,W
OKC,MEM,11/18/2022,L
BOS,NOP,11/18/2022,W
ORL,CHI,11/18/2022,W
UTA,PHX,11/18/2022,W
DET,LAC,11/17/2022,L
SAC,SAS,11/17/2022,W
BKN,POR,11/17/2022,W
IND,CHA,11/16/2022,W
OKC,WAS,11/16/2022,W
GSW,PHX,11/16/2022,L
HOU,DAL,11/16/2022,W
ORL,MIN,11/16/2022,L
NOP,CHI,11/16/2022,W
ATL,BOS,11/16/2022,L
MIL,CLE,11/16/2022,W
MIA,TOR,11/16/2022,L
DEN,NYK,11/16/2022,L
BKN,SAC,11/15/2022,L
UTA,NYK,11/15/2022,L
SAS,POR,11/15/2022,L
MEM,NOP,11/15/2022,L
LAC,DAL,11/15/2022,L
DET,TOR,11/14/2022,L
ATL,MIL,11/14/2022,W
ORL,CHA,11/14/2022,L
GSW,SAS,11/14/2022,W
HOU,LAC,11/14/2022,L
BOS,OKC,11/14/2022,W
PHX,MIA,11/14/2022,L
MIN,CLE,11/13/2022,W
GSW,SAC,11/13/2022,L
OKC,NYK,11/13/2022,W
WAS,MEM,11/13/2022,W
LAL,BKN,11/13/2022,W
PHI,UTA,11/13/2022,W
CHI,DEN,11/13/2022,L
WAS,UTA,11/12/2022,W
DAL,POR,11/12/2022,W
NOP,HOU,11/12/2022,W
PHI,ATL,11/12/2022,W
CHA,MIA,11/12/2022,L
LAC,BKN,11/12/2022,L
TOR,IND,11/12/2022,L
BOS,DET,11/12/2022,W
MIL,SAS,11/11/2022,L
LAL,SAC,11/11/2022,L
GSW,CLE,11/11/2022,W
TOR,OKC,11/11/2022,L
MIN,MEM,11/11/2022,L
DEN,BOS,11/11/2022,L
PHX,ORL,11/11/2022,L
DET,NYK,11/11/2022,L
PHI,ATL,11/10/2022,L
WAS,DAL,11/10/2022,W
MIA,CHA,11/10/2022,W
NOP,POR,11/10/2022,L
LAC,LAL,11/09/2022,W
UTA,ATL,11/09/2022,W
IND,DEN,11/09/2022,L
OKC,MIL,11/09/2022,L
MIN,PHX,11/09/2022,L
HOU,TOR,11/09/2022,L
POR,CHA,11/09/2022,W
DAL,ORL,11/09/2022,L
BKN,NYK,11/09/2022,W
MEM,SAS,11/09/2022,W
NOP,CHI,11/09/2022,W
CLE,SAC,11/09/2022,L
BOS,DET,11/09/2022,W
PHX,PHI,11/07/2022,L
HOU,ORL,11/07/2022,W
CHI,TOR,11/07/2022,W
IND,NOP,11/07/2022,W
DET,OKC,11/07/2022,W
DAL,BKN,11/07/2022,W
BOS,MEM,11/07/2022,W
NYK,MIN,11/07/2022,W
ATL,MIL,11/07/2022,W
DEN,SAS,11/07/2022,W
LAC,CLE,11/07/2022,W
UTA,LAL,11/07/2022,W
POR,MIA,11/07/2022,W
CHA,WAS,11/07/2022,L
GSW,SAC,11/07/2022,W
LAL,CLE,11/06/2022,L
LAC,UTA,11/06/2022,L
TOR,CHI,11/06/2022,W
WAS,MEM,11/06/2022,L
NOP,ATL,11/05/2022,L
SAC,ORL,11/05/2022,W
DEN,SAS,11/05/2022,W
POR,PHX,11/05/2022,L
BKN,CHA,11/05/2022,W
NYK,BOS,11/05/2022,L
MIL,OKC,11/05/2022,W
HOU,MIN,11/05/2022,L
DET,CLE,11/04/2022,L
MIN,MIL,11/04/2022,L
PHX,POR,11/04/2022,L
UTA,LAL,11/04/2022,W
PHI,NYK,11/04/2022,L
IND,MIA,11/04/2022,W
CHA,MEM,11/04/2022,L
NOP,GSW,11/04/2022,W
CHI,BOS,11/04/2022,L
LAC,SAS,11/04/2022,W
WAS,BKN,11/04/2022,L
TOR,DAL,11/04/2022,L
DEN,OKC,11/03/2022,W
GSW,ORL,11/03/2022,L
MIA,SAC,11/02/2022,W
HOU,LAC,11/02/2022,L
CLE,BOS,11/02/2022,W
NOP,LAL,11/02/2022,L
DAL,UTA,11/02/2022,W
TOR,SAS,11/02/2022,W
CHA,CHI,11/02/2022,L
ATL,NYK,11/02/2022,W
WAS,PHI,11/02/2022,W
MIL,DET,11/02/2022,W
POR,MEM,11/02/2022,L
BKN,CHI,11/01/2022,L
OKC,ORL,11/01/2022,W
MIN,PHX,11/01/2022,L
MIA,GSW,11/01/2022,W
MEM,UTA,10/31/2022,L
SAC,CHA,10/31/2022,W
HOU,LAC,10/31/2022,L
BKN,IND,10/31/2022,W
TOR,ATL,10/31/2022,W
PHI,WAS,10/31/2022,W
MIL,DET,10/31/2022,W
WAS,BOS,10/30/2022,L
LAC,NOP,10/30/2022,L
DEN,LAL,10/30/2022,L
PHX,HOU,10/30/2022,W
DET,GSW,10/30/2022,W
DAL,ORL,10/30/2022,W
MIN,SAS,10/30/2022,L
CLE,NYK,10/30/2022,W
UTA,MEM,10/29/2022,W
GSW,CHA,10/29/2022,L
CHI,PHI,10/29/2022,L
SAC,MIA,10/29/2022,W
OKC,DAL,10/29/2022,W
MIL,ATL,10/29/2022,W
IND,BKN,10/29/2022,W
SAS,CHI,10/28/2022,W
TOR,PHI,10/28/2022,L
HOU,POR,10/28/2022,L
CLE,BOS,10/28/2022,W
ATL,DET,10/28/2022,W
NOP,PHX,10/28/2022,L
LAL,MIN,10/28/2022,L
UTA,DEN,10/28/2022,L
NYK,MIL,10/28/2022,L
ORL,CHA,10/28/2022,W
WAS,IND,10/28/2022,L
BKN,DAL,10/27/2022,L
GSW,MIA,10/27/2022,W
SAC,MEM,10/27/2022,L
LAC,OKC,10/27/2022,L
BKN,MIL,10/26/2022,L
LAL,DEN,10/26/2022,L
PHI,TOR,10/26/2022,L
MIA,POR,10/26/2022,W
NYK,CHA,10/26/2022,W
SAS,MIN,10/26/2022,L
CHI,IND,10/26/2022,W
DET,ATL,10/26/2022,L
CLE,ORL,10/26/2022,W
UTA,HOU,10/26/2022,W
LAC,OKC,10/25/2022,L
PHX,GSW,10/25/2022,W
DAL,NOP,10/25/2022,L
DET,WAS,10/25/2022,L
MEM,BKN,10/24/2022,W
ORL,NYK,10/24/2022,L
UTA,HOU,10/24/2022,L
PHI,IND,10/24/2022,W
TOR,MIA,10/24/2022,W
CHI,BOS,10/24/2022,W
MIN,SAS,10/24/2022,L
DEN,POR,10/24/2022,L
ATL,CHA,10/23/2022,L
POR,LAL,10/23/2022,W
SAC,GSW,10/23/2022,L
OKC,MIN,10/23/2022,L
UTA,NOP,10/23/2022,W
WAS,CLE,10/23/2022,L
LAC,PHX,10/23/2022,L
MIA,TOR,10/22/2022,W
MIL,HOU,10/22/2022,W
LAC,SAC,10/22/2022,W
DAL,MEM,10/22/2022,W
PHI,SAS,10/22/2022,L
DET,IND,10/22/2022,L
OKC,DEN,10/22/2022,L
ORL,BOS,10/22/2022,L
CLE,CHI,10/22/2022,W
BKN,TOR,10/21/2022,W
PHX,POR,10/21/2022,L
CHA,NOP,10/21/2022,L
ORL,ATL,10/21/2022,L
BOS,MIA,10/21/2022,W
CHI,WAS,10/21/2022,L
MEM,HOU,10/21/2022,W
GSW,DEN,10/21/2022,L
UTA,MIN,10/21/2022,W
NYK,DET,10/21/2022,W
SAS,IND,10/21/2022,W
MIL,PHI,10/20/2022,W
LAC,LAL,10/20/2022,W
MIA,CHI,10/19/2022,L
HOU,ATL,10/19/2022,L
OKC,MIN,10/19/2022,L
POR,SAC,10/19/2022,W
DEN,UTA,10/19/2022,L
NOP,BKN,10/19/2022,W
NYK,MEM,10/19/2022,L
ORL,DET,10/19/2022,L
SAS,CHA,10/19/2022,L
CLE,TOR,10/19/2022,L
IND,WAS,10/19/2022,L
PHX,DAL,10/19/2022,W
LAL,GSW,10/18/2022,L
PHI,BOS,10/18/2022,L
