FirstTeam,SecondTeam,Date,W/L
MIA,NYK,03/29/2023,L
NOP,GSW,03/28/2023,L
GSW,NOP,03/28/2023,W
OKC,CHA,03/28/2023,L
CHA,OKC,03/28/2023,W
ORL,MEM,03/28/2023,L
MEM,ORL,03/28/2023,W
WAS,BOS,03/28/2023,W
BOS,WAS,03/28/2023,L
ATL,CLE,03/28/2023,W
CLE,ATL,03/28/2023,L
MIA,TOR,03/28/2023,L
TOR,MIA,03/28/2023,W
SAC,MIN,03/27/2023,L
LAC,CHI,03/27/2023,W
CHI,LAC,03/27/2023,L
MIN,SAC,03/27/2023,W
POR,NOP,03/27/2023,L
NOP,POR,03/27/2023,W
PHI,DEN,03/27/2023,L
DEN,PHI,03/27/2023,W
UTA,PHX,03/27/2023,L
PHX,UTA,03/27/2023,W
HOU,NYK,03/27/2023,L
NYK,HOU,03/27/2023,W
MIL,DET,03/27/2023,W
DET,MIL,03/27/2023,L
IND,DAL,03/27/2023,L
DAL,IND,03/27/2023,W
POR,OKC,03/26/2023,L
CLE,HOU,03/26/2023,W
HOU,CLE,03/26/2023,L
CHI,LAL,03/26/2023,W
MEM,ATL,03/26/2023,W
BKN,ORL,03/26/2023,L
ATL,MEM,03/26/2023,L
LAL,CHI,03/26/2023,L
OKC,POR,03/26/2023,W
BOS,SAS,03/26/2023,W
SAS,BOS,03/26/2023,L
TOR,WAS,03/26/2023,W
WAS,TOR,03/26/2023,L
ORL,BKN,03/26/2023,W
MIN,GSW,03/26/2023,W
GSW,MIN,03/26/2023,L
DAL,CHA,03/26/2023,L
CHA,DAL,03/26/2023,W
BKN,MIA,03/25/2023,W
ATL,IND,03/25/2023,W
IND,ATL,03/25/2023,L
DEN,MIL,03/25/2023,W
MIL,DEN,03/25/2023,L
UTA,SAC,03/25/2023,L
SAC,UTA,03/25/2023,W
PHX,PHI,03/25/2023,W
PHI,PHX,03/25/2023,L
LAC,NOP,03/25/2023,L
NOP,LAC,03/25/2023,W
MIA,BKN,03/25/2023,L
LAL,OKC,03/24/2023,W
OKC,LAL,03/24/2023,L
DAL,CHA,03/24/2023,L
PHX,SAC,03/24/2023,L
CHA,DAL,03/24/2023,W
CHI,POR,03/24/2023,W
SAC,PHX,03/24/2023,W
POR,CHI,03/24/2023,L
HOU,MEM,03/24/2023,L
MEM,HOU,03/24/2023,W
TOR,DET,03/24/2023,W
DET,TOR,03/24/2023,L
IND,BOS,03/24/2023,L
BOS,IND,03/24/2023,W
WAS,SAS,03/24/2023,W
SAS,WAS,03/24/2023,L
UTA,MIL,03/24/2023,L
MIL,UTA,03/24/2023,W
PHI,GSW,03/24/2023,L
GSW,PHI,03/24/2023,W
NYK,ORL,03/23/2023,L
OKC,LAC,03/23/2023,L
LAC,OKC,03/23/2023,W
BKN,CLE,03/23/2023,L
CLE,BKN,03/23/2023,W
ORL,NYK,03/23/2023,W
NOP,CHA,03/23/2023,W
CHA,NOP,03/23/2023,L
DAL,GSW,03/22/2023,L
NYK,MIA,03/22/2023,L
MIA,NYK,03/22/2023,W
IND,TOR,03/22/2023,W
TOR,IND,03/22/2023,L
UTA,POR,03/22/2023,L
PHI,CHI,03/22/2023,W
CHI,PHI,03/22/2023,L
PHX,LAL,03/22/2023,L
MEM,HOU,03/22/2023,W
HOU,MEM,03/22/2023,L
LAL,PHX,03/22/2023,W
MIN,ATL,03/22/2023,W
POR,UTA,03/22/2023,W
GSW,DAL,03/22/2023,W
ATL,MIN,03/22/2023,L
SAS,MIL,03/22/2023,L
MIL,SAS,03/22/2023,W
WAS,DEN,03/22/2023,L
DEN,WAS,03/22/2023,W
ORL,WAS,03/21/2023,W
OKC,LAC,03/21/2023,W
LAC,OKC,03/21/2023,L
BOS,SAC,03/21/2023,W
SAC,BOS,03/21/2023,L
ATL,DET,03/21/2023,W
DET,ATL,03/21/2023,L
SAS,NOP,03/21/2023,L
NOP,SAS,03/21/2023,W
WAS,ORL,03/21/2023,L
CLE,BKN,03/21/2023,W
BKN,CLE,03/21/2023,L
SAC,UTA,03/20/2023,L
UTA,SAC,03/20/2023,W
NYK,MIN,03/20/2023,L
CHA,IND,03/20/2023,W
IND,CHA,03/20/2023,L
CHI,PHI,03/20/2023,W
PHI,CHI,03/20/2023,L
MEM,DAL,03/20/2023,W
MIN,NYK,03/20/2023,W
GSW,HOU,03/20/2023,W
DAL,MEM,03/20/2023,L
HOU,GSW,03/20/2023,L
PHX,OKC,03/19/2023,L
LAL,ORL,03/19/2023,W
ORL,LAL,03/19/2023,L
DEN,BKN,03/19/2023,W
BKN,DEN,03/19/2023,L
MIL,TOR,03/19/2023,W
LAC,POR,03/19/2023,W
POR,LAC,03/19/2023,L
TOR,MIL,03/19/2023,L
HOU,NOP,03/19/2023,L
NOP,HOU,03/19/2023,W
OKC,PHX,03/19/2023,W
ATL,SAS,03/19/2023,L
MIA,DET,03/19/2023,W
SAS,ATL,03/19/2023,W
DET,MIA,03/19/2023,L
CHI,MIA,03/18/2023,W
MEM,GSW,03/18/2023,W
LAC,ORL,03/18/2023,L
GSW,MEM,03/18/2023,L
MIN,TOR,03/18/2023,L
IND,PHI,03/18/2023,L
MIA,CHI,03/18/2023,L
TOR,MIN,03/18/2023,W
PHI,IND,03/18/2023,W
SAC,WAS,03/18/2023,W
NYK,DEN,03/18/2023,W
DEN,NYK,03/18/2023,L
WAS,SAC,03/18/2023,L
BOS,UTA,03/18/2023,L
ORL,LAC,03/18/2023,W
UTA,BOS,03/18/2023,W
ATL,GSW,03/17/2023,W
HOU,NOP,03/17/2023,W
LAL,DAL,03/17/2023,L
DAL,LAL,03/17/2023,W
BOS,POR,03/17/2023,W
POR,BOS,03/17/2023,L
MIN,CHI,03/17/2023,L
CHI,MIN,03/17/2023,W
SAS,MEM,03/17/2023,L
MEM,SAS,03/17/2023,W
GSW,ATL,03/17/2023,L
NOP,HOU,03/17/2023,L
CLE,WAS,03/17/2023,W
WAS,CLE,03/17/2023,L
CHA,PHI,03/17/2023,L
PHI,CHA,03/17/2023,W
SAC,BKN,03/16/2023,W
IND,MIL,03/16/2023,W
BKN,SAC,03/16/2023,L
DET,DEN,03/16/2023,L
OKC,TOR,03/16/2023,L
DEN,DET,03/16/2023,W
MIL,IND,03/16/2023,L
TOR,OKC,03/16/2023,W
ORL,PHX,03/16/2023,L
PHX,ORL,03/16/2023,W
DAL,SAS,03/15/2023,W
SAC,CHI,03/15/2023,W
SAS,DAL,03/15/2023,L
CHI,SAC,03/15/2023,L
HOU,LAL,03/15/2023,W
MIA,MEM,03/15/2023,W
LAL,HOU,03/15/2023,L
GSW,LAC,03/15/2023,L
MEM,MIA,03/15/2023,L
BOS,MIN,03/15/2023,W
MIN,BOS,03/15/2023,L
CLE,PHI,03/15/2023,L
PHI,CLE,03/15/2023,W
LAC,GSW,03/15/2023,W
NYK,POR,03/14/2023,W
TOR,DEN,03/14/2023,W
DEN,TOR,03/14/2023,L
POR,NYK,03/14/2023,L
CHA,CLE,03/14/2023,L
PHX,MIL,03/14/2023,L
ORL,SAS,03/14/2023,L
SAS,ORL,03/14/2023,W
NOP,LAL,03/14/2023,L
LAL,NOP,03/14/2023,W
CLE,CHA,03/14/2023,W
BKN,OKC,03/14/2023,L
DET,WAS,03/14/2023,L
WAS,DET,03/14/2023,W
MIL,PHX,03/14/2023,W
OKC,BKN,03/14/2023,W
PHX,GSW,03/13/2023,L
GSW,PHX,03/13/2023,W
SAC,MIL,03/13/2023,L
MIL,SAC,03/13/2023,W
UTA,MIA,03/13/2023,L
MIA,UTA,03/13/2023,W
HOU,BOS,03/13/2023,W
BOS,HOU,03/13/2023,L
MEM,DAL,03/13/2023,W
ATL,MIN,03/13/2023,L
DAL,MEM,03/13/2023,L
DET,IND,03/13/2023,W
IND,DET,03/13/2023,L
MIN,ATL,03/13/2023,W
NYK,LAL,03/12/2023,W
PHI,WAS,03/12/2023,W
WAS,PHI,03/12/2023,L
OKC,SAS,03/12/2023,W
SAS,OKC,03/12/2023,L
LAL,NYK,03/12/2023,L
DEN,BKN,03/12/2023,L
BKN,DEN,03/12/2023,W
NOP,POR,03/12/2023,W
POR,NOP,03/12/2023,L
CHA,CLE,03/12/2023,L
CLE,CHA,03/12/2023,W
MIL,GSW,03/11/2023,L
GSW,MIL,03/11/2023,W
DET,IND,03/11/2023,L
IND,DET,03/11/2023,W
DAL,MEM,03/11/2023,L
CHA,UTA,03/11/2023,L
LAC,NYK,03/11/2023,W
NYK,LAC,03/11/2023,L
PHX,SAC,03/11/2023,L
BOS,ATL,03/11/2023,W
HOU,CHI,03/11/2023,L
CHI,HOU,03/11/2023,W
SAC,PHX,03/11/2023,W
UTA,CHA,03/11/2023,W
MIA,ORL,03/11/2023,L
ORL,MIA,03/11/2023,W
MEM,DAL,03/11/2023,W
OKC,NOP,03/11/2023,W
ATL,BOS,03/11/2023,L
NOP,OKC,03/11/2023,L
PHI,POR,03/10/2023,W
BKN,MIN,03/10/2023,W
POR,PHI,03/10/2023,L
ATL,WAS,03/10/2023,W
WAS,ATL,03/10/2023,L
SAS,DEN,03/10/2023,W
MIN,BKN,03/10/2023,L
LAL,TOR,03/10/2023,W
TOR,LAL,03/10/2023,L
MIA,CLE,03/10/2023,W
CLE,MIA,03/10/2023,L
DEN,SAS,03/10/2023,L
UTA,ORL,03/09/2023,W
NYK,SAC,03/09/2023,L
HOU,IND,03/09/2023,L
SAC,NYK,03/09/2023,W
IND,HOU,03/09/2023,W
MEM,GSW,03/09/2023,W
ORL,UTA,03/09/2023,L
GSW,MEM,03/09/2023,L
MIL,BKN,03/09/2023,W
BKN,MIL,03/09/2023,L
DET,CHA,03/09/2023,L
CHA,DET,03/09/2023,W
TOR,LAC,03/08/2023,L
LAC,TOR,03/08/2023,W
BOS,POR,03/08/2023,W
CHI,DEN,03/08/2023,W
POR,BOS,03/08/2023,L
OKC,PHX,03/08/2023,L
PHX,OKC,03/08/2023,W
ATL,WAS,03/08/2023,W
WAS,ATL,03/08/2023,L
CLE,MIA,03/08/2023,W
MIA,CLE,03/08/2023,L
NOP,DAL,03/08/2023,W
DAL,NOP,03/08/2023,L
DEN,CHI,03/08/2023,L
MIL,ORL,03/07/2023,W
BKN,HOU,03/07/2023,W
ORL,MIL,03/07/2023,L
MIN,PHI,03/07/2023,L
HOU,BKN,03/07/2023,L
OKC,GSW,03/07/2023,W
GSW,OKC,03/07/2023,L
PHI,MIN,03/07/2023,W
NYK,CHA,03/07/2023,L
DAL,UTA,03/07/2023,W
UTA,DAL,03/07/2023,L
DET,WAS,03/07/2023,L
WAS,DET,03/07/2023,W
LAL,MEM,03/07/2023,W
MEM,LAL,03/07/2023,L
CHA,NYK,03/07/2023,W
CLE,BOS,03/06/2023,W
BOS,CLE,03/06/2023,L
PHI,IND,03/06/2023,W
IND,PHI,03/06/2023,L
POR,DET,03/06/2023,W
DET,POR,03/06/2023,L
DEN,TOR,03/06/2023,W
SAC,NOP,03/06/2023,W
NOP,SAC,03/06/2023,L
TOR,DEN,03/06/2023,L
ATL,MIA,03/06/2023,L
MIA,ATL,03/06/2023,W
NYK,BOS,03/05/2023,W
SAS,HOU,03/05/2023,L
HOU,SAS,03/05/2023,W
WAS,MIL,03/05/2023,L
MIL,WAS,03/05/2023,W
OKC,UTA,03/05/2023,W
GSW,LAL,03/05/2023,L
LAL,GSW,03/05/2023,W
MEM,LAC,03/05/2023,L
PHX,DAL,03/05/2023,W
DAL,PHX,03/05/2023,L
IND,CHI,03/05/2023,W
POR,ORL,03/05/2023,W
ORL,POR,03/05/2023,L
UTA,OKC,03/05/2023,L
CHA,BKN,03/05/2023,L
CHI,IND,03/05/2023,L
BKN,CHA,03/05/2023,W
LAC,MEM,03/05/2023,W
BOS,NYK,03/05/2023,L
WAS,TOR,03/04/2023,L
TOR,WAS,03/04/2023,W
SAS,HOU,03/04/2023,L
HOU,SAS,03/04/2023,W
DET,CLE,03/04/2023,L
CLE,DET,03/04/2023,W
ATL,MIA,03/04/2023,L
MIA,ATL,03/04/2023,W
MIL,PHI,03/04/2023,L
PHI,MIL,03/04/2023,W
SAC,MIN,03/04/2023,L
MIN,SAC,03/04/2023,W
DEN,MEM,03/03/2023,W
ATL,POR,03/03/2023,W
POR,ATL,03/03/2023,L
BKN,BOS,03/03/2023,W
ORL,CHA,03/03/2023,W
BOS,BKN,03/03/2023,L
CHA,ORL,03/03/2023,L
MEM,DEN,03/03/2023,L
OKC,UTA,03/03/2023,W
GSW,NOP,03/03/2023,W
MIN,LAL,03/03/2023,W
NYK,MIA,03/03/2023,W
MIA,NYK,03/03/2023,L
LAL,MIN,03/03/2023,L
CHI,PHX,03/03/2023,L
UTA,OKC,03/03/2023,L
PHX,CHI,03/03/2023,W
NOP,GSW,03/03/2023,L
LAC,SAC,03/03/2023,L
SAC,LAC,03/03/2023,W
WAS,TOR,03/02/2023,W
TOR,WAS,03/02/2023,L
DAL,PHI,03/02/2023,W
PHI,DAL,03/02/2023,L
LAC,GSW,03/02/2023,L
GSW,LAC,03/02/2023,W
SAS,IND,03/02/2023,W
IND,SAS,03/02/2023,L
CHI,DET,03/01/2023,W
DET,CHI,03/01/2023,L
CLE,BOS,03/01/2023,L
CHA,PHX,03/01/2023,L
PHX,CHA,03/01/2023,W
BKN,NYK,03/01/2023,L
MEM,HOU,03/01/2023,W
HOU,MEM,03/01/2023,L
ORL,MIL,03/01/2023,L
MIL,ORL,03/01/2023,W
NYK,BKN,03/01/2023,W
PHI,MIA,03/01/2023,W
MIA,PHI,03/01/2023,L
NOP,POR,03/01/2023,W
POR,NOP,03/01/2023,L
LAL,OKC,03/01/2023,W
OKC,LAL,03/01/2023,L
BOS,CLE,03/01/2023,W
TOR,CHI,02/28/2023,W
CHI,TOR,02/28/2023,L
DEN,HOU,02/28/2023,W
HOU,DEN,02/28/2023,L
OKC,SAC,02/28/2023,L
POR,GSW,02/28/2023,L
LAC,MIN,02/28/2023,L
MIN,LAC,02/28/2023,W
WAS,ATL,02/28/2023,W
ATL,WAS,02/28/2023,L
BKN,MIL,02/28/2023,L
MIL,BKN,02/28/2023,W
DAL,IND,02/28/2023,L
IND,DAL,02/28/2023,W
GSW,POR,02/28/2023,W
MEM,LAL,02/28/2023,W
SAS,UTA,02/28/2023,W
LAL,MEM,02/28/2023,L
UTA,SAS,02/28/2023,L
SAC,OKC,02/28/2023,W
NYK,BOS,02/27/2023,W
BOS,NYK,02/27/2023,L
DET,CHA,02/27/2023,L
CHA,DET,02/27/2023,W
PHI,MIA,02/27/2023,L
MIA,PHI,02/27/2023,W
ORL,NOP,02/27/2023,W
NOP,ORL,02/27/2023,L
OKC,SAC,02/26/2023,L
SAC,OKC,02/26/2023,W
DAL,LAL,02/26/2023,L
LAL,DAL,02/26/2023,W
ATL,BKN,02/26/2023,W
HOU,POR,02/26/2023,L
POR,HOU,02/26/2023,W
BKN,ATL,02/26/2023,L
MIN,GSW,02/26/2023,L
CLE,TOR,02/26/2023,W
TOR,CLE,02/26/2023,L
CHI,WAS,02/26/2023,W
WAS,CHI,02/26/2023,L
DEN,LAC,02/26/2023,W
GSW,MIN,02/26/2023,W
LAC,DEN,02/26/2023,L
PHX,MIL,02/26/2023,L
MIL,PHX,02/26/2023,W
MIA,CHA,02/25/2023,L
CHA,MIA,02/25/2023,W
DEN,MEM,02/25/2023,L
NYK,NOP,02/25/2023,W
IND,ORL,02/25/2023,W
MEM,DEN,02/25/2023,W
NOP,NYK,02/25/2023,L
ORL,IND,02/25/2023,L
SAS,UTA,02/25/2023,L
UTA,SAS,02/25/2023,W
PHI,BOS,02/25/2023,L
TOR,DET,02/25/2023,W
DET,TOR,02/25/2023,L
BOS,PHI,02/25/2023,W
CHI,BKN,02/24/2023,W
SAC,LAC,02/24/2023,W
LAC,SAC,02/24/2023,L
CLE,ATL,02/24/2023,L
ATL,CLE,02/24/2023,W
OKC,PHX,02/24/2023,L
PHX,OKC,02/24/2023,W
NYK,WAS,02/24/2023,W
MIA,MIL,02/24/2023,L
MIL,MIA,02/24/2023,W
GSW,HOU,02/24/2023,W
MIN,CHA,02/24/2023,L
CHA,MIN,02/24/2023,W
BKN,CHI,02/24/2023,L
HOU,GSW,02/24/2023,L
WAS,NYK,02/24/2023,L
OKC,UTA,02/23/2023,L
UTA,OKC,02/23/2023,W
POR,SAC,02/23/2023,L
SAC,POR,02/23/2023,W
DET,ORL,02/23/2023,L
ORL,DET,02/23/2023,W
MEM,PHI,02/23/2023,L
CLE,DEN,02/23/2023,L
DEN,CLE,02/23/2023,W
